
Epoch 1/15
----------------------------------------
  Batch 50: Loss=8.9268, Acc=0.0450
  Batch 100: Loss=8.3971, Acc=0.0502
  Batch 150: Loss=7.8890, Acc=0.0522
  Batch 200: Loss=7.5622, Acc=0.0377
  Batch 250: Loss=7.1064, Acc=0.0441
  Batch 300: Loss=6.7850, Acc=0.0449
  Batch 350: Loss=6.6763, Acc=0.0281
  Batch 400: Loss=6.5711, Acc=0.0345
  Batch 450: Loss=6.3991, Acc=0.0504
  Batch 500: Loss=6.2333, Acc=0.0283
  Batch 550: Loss=6.1707, Acc=0.0510
  Batch 600: Loss=6.1485, Acc=0.0354
  Batch 650: Loss=5.9077, Acc=0.0531
  Batch 700: Loss=6.0058, Acc=0.0501
  Batch 750: Loss=5.9644, Acc=0.0558
  Batch 800: Loss=6.3074, Acc=0.0747
  Batch 850: Loss=6.0395, Acc=0.0931
  Batch 900: Loss=5.6238, Acc=0.1277
  Batch 950: Loss=5.9704, Acc=0.1008
  Batch 1000: Loss=5.6658, Acc=0.1235
  Batch 1050: Loss=5.8444, Acc=0.1362
  Batch 1100: Loss=5.8428, Acc=0.1256
  Batch 1150: Loss=5.4226, Acc=0.1755
  Batch 1200: Loss=5.6085, Acc=0.1860
  Batch 1250: Loss=5.5813, Acc=0.1747
  Batch 1300: Loss=5.6716, Acc=0.1743
  Batch 1350: Loss=5.6223, Acc=0.1698
  Batch 1400: Loss=5.5144, Acc=0.1870
  Batch 1450: Loss=5.5603, Acc=0.2034
  Batch 1500: Loss=5.2405, Acc=0.2293
  Batch 1550: Loss=5.0418, Acc=0.2156
  Batch 1600: Loss=5.2168, Acc=0.2205
  Batch 1650: Loss=5.0235, Acc=0.2440
  Batch 1700: Loss=5.0793, Acc=0.2435
  Batch 1750: Loss=4.8300, Acc=0.2526
  Batch 1800: Loss=4.8819, Acc=0.2711
  Batch 1850: Loss=4.8287, Acc=0.2838
  Batch 1900: Loss=4.7789, Acc=0.2521
  Batch 1950: Loss=5.4395, Acc=0.2256
  Batch 2000: Loss=5.1192, Acc=0.2446
  Batch 2050: Loss=5.0209, Acc=0.2192
  Batch 2100: Loss=4.7657, Acc=0.2395
  Batch 2150: Loss=4.9546, Acc=0.2251

  Train Loss: 5.8985, Train Acc: 0.1388
  Val Loss: 4.7033, Val Acc: 0.2479
  ✓ Saved best model (val_loss=4.7033)

Epoch 2/15
----------------------------------------
  Batch 50: Loss=4.7875, Acc=0.2652
  Batch 100: Loss=4.4919, Acc=0.2830
  Batch 150: Loss=4.8262, Acc=0.2559
  Batch 200: Loss=4.6291, Acc=0.2560
