
Epoch 1/20
----------------------------------------
  Batch 50: Loss=8.7524, Acc=0.0000
  Batch 100: Loss=8.5274, Acc=0.0000
  Batch 150: Loss=8.2253, Acc=0.0000
  Batch 200: Loss=7.9813, Acc=0.0000
  Batch 250: Loss=7.6931, Acc=0.0000
  Batch 300: Loss=7.4829, Acc=0.0000
  Batch 350: Loss=7.3513, Acc=0.0000
  Batch 400: Loss=6.9840, Acc=0.0013
  Batch 450: Loss=6.7923, Acc=0.0078
  Batch 500: Loss=6.5577, Acc=0.0099
  Batch 550: Loss=6.2807, Acc=0.0015
  Batch 600: Loss=6.3743, Acc=0.0000
  Batch 650: Loss=6.0597, Acc=0.0000
  Batch 700: Loss=6.0571, Acc=0.0000
  Batch 750: Loss=5.9751, Acc=0.0000
  Batch 800: Loss=5.8056, Acc=0.0000
  Batch 850: Loss=5.2945, Acc=0.0000
  Batch 900: Loss=5.6109, Acc=0.0000
  Batch 950: Loss=5.5595, Acc=0.0000
  Batch 1000: Loss=5.3577, Acc=0.0000
  Batch 1050: Loss=5.2816, Acc=0.0000
  Batch 1100: Loss=5.3680, Acc=0.0000
  Batch 1150: Loss=5.5759, Acc=0.0000
  Batch 1200: Loss=5.5113, Acc=0.0000
  Batch 1250: Loss=5.5377, Acc=0.0000
  Batch 1300: Loss=5.6670, Acc=0.0000
  Batch 1350: Loss=5.0247, Acc=0.0000
  Batch 1400: Loss=5.2405, Acc=0.0000

  Train Loss: 6.4082, Train Acc: 0.0008
  Val Loss: 6.0206, Val Acc: 0.0000
  ✓ Saved best model (val_loss=6.0206)

Epoch 2/20
----------------------------------------
  Batch 50: Loss=5.0561, Acc=0.0000
  Batch 100: Loss=5.0886, Acc=0.0000
  Batch 150: Loss=4.9180, Acc=0.0000
  Batch 200: Loss=5.0366, Acc=0.0000
  Batch 250: Loss=4.9243, Acc=0.0000
  Batch 300: Loss=5.2653, Acc=0.0000
  Batch 350: Loss=4.7708, Acc=0.0000
  Batch 400: Loss=5.4699, Acc=0.0000
  Batch 450: Loss=4.6259, Acc=0.0000
  Batch 500: Loss=4.3905, Acc=0.0126
  Batch 550: Loss=4.3710, Acc=0.0014
  Batch 600: Loss=4.7433, Acc=0.0026
  Batch 650: Loss=4.3484, Acc=0.0135
  Batch 700: Loss=4.7572, Acc=0.0202
  Batch 750: Loss=4.3825, Acc=0.0329
  Batch 800: Loss=4.1490, Acc=0.0686
  Batch 850: Loss=3.9982, Acc=0.0891
  Batch 900: Loss=4.1445, Acc=0.0951
  Batch 950: Loss=5.1391, Acc=0.1041
  Batch 1000: Loss=4.1498, Acc=0.1110
  Batch 1050: Loss=4.1636, Acc=0.1474
  Batch 1100: Loss=4.1619, Acc=0.1529
  Batch 1150: Loss=4.9176, Acc=0.1457
  Batch 1200: Loss=4.3817, Acc=0.1608
  Batch 1250: Loss=3.6535, Acc=0.1864
  Batch 1300: Loss=4.4654, Acc=0.1796
  Batch 1350: Loss=4.0174, Acc=0.1847
  Batch 1400: Loss=4.1687, Acc=0.2031

  Train Loss: 4.5807, Train Acc: 0.0682
  Val Loss: 5.1382, Val Acc: 0.2024
  ✓ Saved best model (val_loss=5.1382)

Epoch 3/20
----------------------------------------
  Batch 50: Loss=4.3416, Acc=0.2093
  Batch 100: Loss=3.7201, Acc=0.2288
  Batch 150: Loss=4.4608, Acc=0.2314
  Batch 200: Loss=3.8847, Acc=0.2408
  Batch 250: Loss=3.9719, Acc=0.2270
  Batch 300: Loss=3.4156, Acc=0.1967
  Batch 350: Loss=3.9122, Acc=0.2447
  Batch 400: Loss=4.2153, Acc=0.2250
  Batch 450: Loss=3.9156, Acc=0.2235
  Batch 500: Loss=3.7026, Acc=0.2183
  Batch 550: Loss=4.3154, Acc=0.2081
  Batch 600: Loss=3.3563, Acc=0.2463
  Batch 650: Loss=3.6711, Acc=0.2500
  Batch 700: Loss=3.8420, Acc=0.2471
  Batch 750: Loss=3.3384, Acc=0.2197
  Batch 800: Loss=3.8503, Acc=0.2590
  Batch 850: Loss=3.2324, Acc=0.2676
  Batch 900: Loss=3.8835, Acc=0.2331
  Batch 950: Loss=3.9147, Acc=0.2568
  Batch 1000: Loss=3.4691, Acc=0.2901
  Batch 1050: Loss=3.7479, Acc=0.2541
  Batch 1100: Loss=3.7987, Acc=0.2741
  Batch 1150: Loss=2.8299, Acc=0.2638
  Batch 1200: Loss=3.4492, Acc=0.2553
  Batch 1250: Loss=3.7551, Acc=0.2557
  Batch 1300: Loss=3.9418, Acc=0.2690
  Batch 1350: Loss=3.2275, Acc=0.2696
  Batch 1400: Loss=4.0718, Acc=0.2656

  Train Loss: 3.8541, Train Acc: 0.2399
  Val Loss: 4.5255, Val Acc: 0.2610
  ✓ Saved best model (val_loss=4.5255)

Epoch 4/20
----------------------------------------
  Batch 50: Loss=3.7460, Acc=0.2509
  Batch 100: Loss=3.2029, Acc=0.2685
  Batch 150: Loss=4.1841, Acc=0.2583
  Batch 200: Loss=3.5095, Acc=0.2613
  Batch 250: Loss=3.7498, Acc=0.2533
  Batch 300: Loss=3.6058, Acc=0.2572
  Batch 350: Loss=3.0074, Acc=0.2810
  Batch 400: Loss=4.0272, Acc=0.2545
  Batch 450: Loss=3.4165, Acc=0.2775
  Batch 500: Loss=3.6321, Acc=0.2648
  Batch 550: Loss=3.3103, Acc=0.2775
  Batch 600: Loss=4.3330, Acc=0.2810
  Batch 650: Loss=3.8644, Acc=0.2870
  Batch 700: Loss=3.4187, Acc=0.2767
  Batch 750: Loss=2.7834, Acc=0.3224
  Batch 800: Loss=3.7535, Acc=0.2676
  Batch 850: Loss=3.2536, Acc=0.2808
  Batch 900: Loss=3.7416, Acc=0.2752
  Batch 950: Loss=2.9366, Acc=0.3291
  Batch 1000: Loss=3.6068, Acc=0.2696
  Batch 1050: Loss=3.8422, Acc=0.2944
  Batch 1100: Loss=3.7530, Acc=0.2920
  Batch 1150: Loss=3.5271, Acc=0.2616
  Batch 1200: Loss=3.1790, Acc=0.2884
  Batch 1250: Loss=3.7896, Acc=0.2986
  Batch 1300: Loss=3.1586, Acc=0.2771
  Batch 1350: Loss=2.8359, Acc=0.2911
  Batch 1400: Loss=3.6534, Acc=0.2561

  Train Loss: 3.5102, Train Acc: 0.2702
  Val Loss: 4.2403, Val Acc: 0.2778
  ✓ Saved best model (val_loss=4.2403)

Epoch 5/20
----------------------------------------
  Batch 50: Loss=3.8207, Acc=0.2629
  Batch 100: Loss=3.3708, Acc=0.3238
  Batch 150: Loss=3.5898, Acc=0.2673
  Batch 200: Loss=3.5685, Acc=0.2990
  Batch 250: Loss=3.4867, Acc=0.2634
  Batch 300: Loss=3.2988, Acc=0.2847
  Batch 350: Loss=3.4587, Acc=0.2742
  Batch 400: Loss=2.9635, Acc=0.2870
  Batch 450: Loss=3.9045, Acc=0.2674
  Batch 500: Loss=3.3873, Acc=0.2785
  Batch 550: Loss=3.5946, Acc=0.2478
  Batch 600: Loss=3.1598, Acc=0.2818
  Batch 650: Loss=3.4806, Acc=0.2940
  Batch 700: Loss=2.8901, Acc=0.3229
  Batch 750: Loss=3.3683, Acc=0.2778
  Batch 800: Loss=3.1877, Acc=0.3088
  Batch 850: Loss=2.4623, Acc=0.3000
  Batch 900: Loss=3.3501, Acc=0.2708
  Batch 950: Loss=3.2434, Acc=0.3016
  Batch 1000: Loss=3.2205, Acc=0.2968
  Batch 1050: Loss=3.4096, Acc=0.2988
  Batch 1100: Loss=3.7358, Acc=0.2643
  Batch 1150: Loss=2.6379, Acc=0.3394
  Batch 1200: Loss=3.2421, Acc=0.2990
  Batch 1250: Loss=3.3814, Acc=0.2603
  Batch 1300: Loss=3.2517, Acc=0.2545
  Batch 1350: Loss=3.7696, Acc=0.2928
  Batch 1400: Loss=3.3180, Acc=0.2786

  Train Loss: 3.3264, Train Acc: 0.2861
  Val Loss: 4.0535, Val Acc: 0.2910
  ✓ Saved best model (val_loss=4.0535)

Epoch 6/20
----------------------------------------
  Batch 50: Loss=3.2194, Acc=0.2967
  Batch 100: Loss=2.8878, Acc=0.3356
  Batch 150: Loss=2.9472, Acc=0.2914
  Batch 200: Loss=3.5303, Acc=0.2931
  Batch 250: Loss=3.6683, Acc=0.2991
  Batch 300: Loss=3.7037, Acc=0.2761
  Batch 350: Loss=3.4203, Acc=0.3130
  Batch 400: Loss=3.1410, Acc=0.2995
  Batch 450: Loss=2.8916, Acc=0.3210
  Batch 500: Loss=3.3593, Acc=0.3080
  Batch 550: Loss=3.4657, Acc=0.2637
  Batch 600: Loss=2.8847, Acc=0.3285
  Batch 650: Loss=2.9454, Acc=0.3445
  Batch 700: Loss=3.2084, Acc=0.3127
  Batch 750: Loss=2.8773, Acc=0.2997
  Batch 800: Loss=3.6598, Acc=0.2989
  Batch 850: Loss=3.3722, Acc=0.2896
  Batch 900: Loss=3.7523, Acc=0.2697
  Batch 950: Loss=2.8246, Acc=0.3495
  Batch 1000: Loss=2.9591, Acc=0.2956
  Batch 1050: Loss=2.8050, Acc=0.3111
  Batch 1100: Loss=4.1676, Acc=0.2654
  Batch 1150: Loss=3.4035, Acc=0.2896
  Batch 1200: Loss=2.4954, Acc=0.3318
  Batch 1250: Loss=3.1363, Acc=0.2995
  Batch 1300: Loss=3.3006, Acc=0.2951
  Batch 1350: Loss=3.4660, Acc=0.2684
  Batch 1400: Loss=3.2275, Acc=0.2954

  Train Loss: 3.2031, Train Acc: 0.2980
  Val Loss: 3.9190, Val Acc: 0.3011
  ✓ Saved best model (val_loss=3.9190)

Epoch 7/20
----------------------------------------
  Batch 50: Loss=3.1969, Acc=0.3230
  Batch 100: Loss=3.3007, Acc=0.2957
  Batch 150: Loss=3.3725, Acc=0.2575
  Batch 200: Loss=3.7813, Acc=0.3045
  Batch 250: Loss=3.2115, Acc=0.3479
  Batch 300: Loss=2.6839, Acc=0.3180
  Batch 350: Loss=3.5664, Acc=0.2929
  Batch 400: Loss=2.7492, Acc=0.3188
  Batch 450: Loss=3.2768, Acc=0.2780
  Batch 500: Loss=2.8247, Acc=0.2831
  Batch 550: Loss=2.9956, Acc=0.3442
  Batch 600: Loss=3.4454, Acc=0.2896
  Batch 650: Loss=3.2999, Acc=0.3309
  Batch 700: Loss=2.9401, Acc=0.2810
  Batch 750: Loss=3.2075, Acc=0.3333
  Batch 800: Loss=3.0967, Acc=0.3128
  Batch 850: Loss=2.9800, Acc=0.3217
  Batch 900: Loss=3.4477, Acc=0.2764
  Batch 950: Loss=3.4631, Acc=0.3264
  Batch 1000: Loss=3.8875, Acc=0.2514
  Batch 1050: Loss=2.5393, Acc=0.3402
  Batch 1100: Loss=3.3477, Acc=0.2844
  Batch 1150: Loss=3.4323, Acc=0.3264
  Batch 1200: Loss=2.7784, Acc=0.3281
  Batch 1250: Loss=2.8870, Acc=0.3540
  Batch 1300: Loss=3.3663, Acc=0.3078
  Batch 1350: Loss=2.8698, Acc=0.3150
  Batch 1400: Loss=3.2529, Acc=0.2689

  Train Loss: 3.1123, Train Acc: 0.3079
  Val Loss: 3.8131, Val Acc: 0.3117
  ✓ Saved best model (val_loss=3.8131)

Epoch 8/20
----------------------------------------
  Batch 50: Loss=3.4189, Acc=0.3130
  Batch 100: Loss=2.9836, Acc=0.3359
  Batch 150: Loss=3.2791, Acc=0.3200
  Batch 200: Loss=2.9231, Acc=0.3141
