
Epoch 1/30
----------------------------------------
  Batch 50: Loss=8.8069, Acc=0.0000
  Batch 100: Loss=8.6428, Acc=0.0413
  Batch 150: Loss=8.4110, Acc=0.0610
  Batch 200: Loss=8.0762, Acc=0.0455
  Batch 250: Loss=7.8730, Acc=0.0556
  Batch 300: Loss=7.6017, Acc=0.0488
  Batch 350: Loss=7.3512, Acc=0.0431
  Batch 400: Loss=7.1412, Acc=0.0518
  Batch 450: Loss=7.0282, Acc=0.0444
  Batch 500: Loss=6.9055, Acc=0.0436
  Batch 550: Loss=6.6941, Acc=0.0420
  Batch 600: Loss=6.5778, Acc=0.0370
  Batch 650: Loss=6.4090, Acc=0.0493
  Batch 700: Loss=6.3212, Acc=0.0466
  Batch 750: Loss=6.3988, Acc=0.0502
  Batch 800: Loss=6.1019, Acc=0.0383
  Batch 850: Loss=6.2743, Acc=0.0473
  Batch 900: Loss=6.0255, Acc=0.0535
  Batch 950: Loss=6.0273, Acc=0.0385
  Batch 1000: Loss=6.2034, Acc=0.0452
  Batch 1050: Loss=5.8695, Acc=0.0520
  Batch 1100: Loss=5.9930, Acc=0.0528
  Batch 1150: Loss=6.0476, Acc=0.0643
  Batch 1200: Loss=6.1252, Acc=0.0559
  Batch 1250: Loss=5.9934, Acc=0.0682
  Batch 1300: Loss=5.9126, Acc=0.0539
  Batch 1350: Loss=6.0015, Acc=0.0766
  Batch 1400: Loss=5.9142, Acc=0.0766

  Train Loss: 6.7709, Train Acc: 0.0486
  Val Loss: 5.8176, Val Acc: 0.0876
  ✓ Saved best model (val_loss=5.8176)

Epoch 2/30
----------------------------------------
  Batch 50: Loss=6.0327, Acc=0.1092
  Batch 100: Loss=5.7688, Acc=0.1235
  Batch 150: Loss=6.0447, Acc=0.1166
  Batch 200: Loss=5.7337, Acc=0.1529
  Batch 250: Loss=5.7693, Acc=0.1324
  Batch 300: Loss=5.6321, Acc=0.1690
  Batch 350: Loss=5.6261, Acc=0.1717
  Batch 400: Loss=5.7684, Acc=0.1467
  Batch 450: Loss=5.7479, Acc=0.1514
  Batch 500: Loss=5.4430, Acc=0.2149
  Batch 550: Loss=5.5399, Acc=0.1656
  Batch 600: Loss=5.4084, Acc=0.1756
  Batch 650: Loss=5.5169, Acc=0.1951
  Batch 700: Loss=5.2464, Acc=0.2175
  Batch 750: Loss=5.3760, Acc=0.1902
  Batch 800: Loss=5.1477, Acc=0.1923
